City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,broken hill,-31.95,141.4333,25.61,42,100,1.12,AU,1702234549
83,richfield,44.8833,-93.283,-3.55,83,100,2.06,US,1702234355
84,ilulissat,69.2167,-51.1,-3.99,74,100,8.23,GL,1702234447
85,midvagur,62.0511,-7.1939,7.46,81,100,4.12,FO,1702234550
86,bonthe,7.5264,-12.505,27.67,75,57,3.37,SL,1702234550
87,vorgashor,67.5833,63.95,-25.75,100,100,2.34,RU,1702234409
88,cabo san lucas,22.8909,-109.9124,28.2,62,0,2.06,MX,1702233822
89,motueka,-41.1333,173.0167,13.39,63,0,1.38,NZ,1702234551
90,sumusta as sultani,28.9167,30.85,16.7,37,51,1.9,EG,1702234552
91,monrovia,6.3005,-10.7969,28.87,81,62,4.66,LR,1702234552
92,fale old settlement,-9.3852,-171.2468,27.76,81,100,4.05,TK,1702234553
93,coahuayana de hidalgo,18.7,-103.6583,31.03,47,100,2.13,MX,1702234553
94,touros,-5.1989,-35.4608,28.25,59,14,6.06,BR,1702234553
95,noosa heads,-26.3833,153.15,24.5,67,86,6.59,AU,1702234554
96,hawaiian paradise park,19.5933,-154.9731,24.46,98,100,3.09,US,1702234554
97,acarau,-2.8856,-40.12,29.39,61,39,8.28,BR,1702234315
98,murzuq,25.9155,13.9184,16.69,57,100,6.22,LY,1702234555
99,veinticinco de mayo,-35.4323,-60.1727,30.55,37,0,1.79,AR,1702234555
100,alofi,-19.0595,-169.9187,24.94,88,100,4.12,NU,1702234390
101,rabo de peixe,37.8,-25.5833,17.77,99,75,5.14,PT,1702234556
102,kroya,-7.6331,109.2461,25.88,85,100,2.04,ID,1702234556
103,cedral,23.8,-100.7333,18.01,53,6,4.2,MX,1702234557
104,yuzhno-kurilsk,44.0306,145.8556,0.76,76,100,7.24,RU,1702234471
105,kannur,11.8675,75.3576,25.27,90,88,1.82,IN,1702234557
106,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,94,20,1.03,ID,1702234558
107,ola,59.5833,151.2833,-2.14,79,100,10.9,RU,1702234558
108,wailua homesteads,22.0669,-159.378,23.81,87,20,4.63,US,1702234356
109,maumere,-8.6199,122.2111,27.27,75,66,1.65,ID,1702234559
110,northam,51.0333,-4.2167,13.14,88,12,14.36,GB,1702234559
111,margaret river,-33.95,115.0667,14.23,55,0,5.95,AU,1702234321
112,loa janan,-0.583,117.095,23.05,99,100,1.02,ID,1702234560
